ReasonForAbsence,MonthOfAbsence,DayOfTheWeek,TransportationExpense,DistanceFromResidenceToWork,ServiceTime,Age,WorkLoadAverage,HitTarget,DisciplinaryFailure,Education,SocialDrinker,SocialSmoker,AbsenteeismTimeInHours
26,7,3,289,36,13,33,239554,97,0,1,1,0,4
0,7,3,118,13,18,50,239554,97,1,1,1,0,0
23,7,4,179,51,18,38,239554,97,0,1,1,0,2
7,7,5,279,5,14,39,239554,97,0,1,1,1,4
23,7,5,289,36,13,33,239554,97,0,1,1,0,2
23,7,6,260,50,11,36,239554,97,0,1,1,0,4
19,7,2,155,12,14,34,239554,97,0,1,1,0,40
22,7,2,235,11,14,37,239554,97,0,3,0,0,8
1,7,2,260,50,11,36,239554,97,0,1,1,0,8
1,7,3,260,50,11,36,239554,97,0,1,1,0,8
11,7,4,260,50,11,36,239554,97,0,1,1,0,8
11,7,4,179,51,18,38,239554,97,0,1,1,0,1
23,7,4,179,51,18,38,239554,97,0,1,1,0,4
21,7,2,179,51,18,38,239554,97,0,1,1,0,8
11,7,5,189,29,13,33,239554,97,0,1,0,0,8
23,8,4,248,25,14,47,205917,92,0,1,0,0,2
11,8,2,179,51,18,38,205917,92,0,1,1,0,1
13,8,2,361,52,3,28,205917,92,0,1,1,0,40
28,8,6,260,50,11,36,205917,92,0,1,1,0,4
18,8,2,289,36,13,33,205917,92,0,1,1,0,8
25,8,2,361,52,3,28,205917,92,0,1,1,0,7
23,8,3,289,36,13,33,205917,92,0,1,1,0,1
28,8,4,157,27,6,29,205917,92,0,1,1,1,4
18,8,4,289,36,13,33,205917,92,0,1,1,0,8
23,8,6,179,51,18,38,205917,92,0,1,1,0,2
18,8,2,179,51,18,38,205917,92,0,1,1,0,8
18,8,5,235,29,12,48,205917,92,0,1,0,1,8
18,8,2,235,29,12,48,205917,92,0,1,0,1,8
23,8,2,179,51,18,38,205917,92,0,1,1,0,2
23,8,2,361,52,3,28,205917,92,0,1,1,0,1
24,8,3,289,36,13,33,205917,92,0,1,1,0,8
11,8,5,291,50,12,32,205917,92,0,1,1,0,4
28,8,6,235,29,12,48,205917,92,0,1,0,1,8
23,8,6,260,50,11,36,205917,92,0,1,1,0,4
23,9,3,184,42,7,27,241476,92,0,1,0,0,2
23,9,2,118,10,10,37,241476,92,0,1,0,0,4
23,9,3,179,51,18,38,241476,92,0,1,1,0,4
19,9,3,235,20,13,43,241476,92,0,1,1,0,8
23,9,4,155,12,14,34,241476,92,0,1,1,0,2
23,9,3,179,51,18,38,241476,92,0,1,1,0,3
23,9,5,291,31,12,40,241476,92,0,1,1,0,4
0,9,2,225,26,9,28,241476,92,1,1,0,0,0
23,9,3,225,26,9,28,241476,92,0,1,0,0,2
23,9,3,118,10,10,37,241476,92,0,1,0,0,2
0,9,3,289,36,13,33,241476,92,1,1,1,0,0
18,9,4,225,26,9,28,241476,92,0,1,0,0,3
23,9,4,179,51,18,38,241476,92,0,1,1,0,3
0,9,4,369,17,12,31,241476,92,1,1,1,0,0
23,9,6,248,25,14,47,241476,92,0,1,0,0,1
23,9,6,179,51,18,38,241476,92,0,1,1,0,3
23,9,6,260,50,11,36,241476,92,0,1,1,0,4
23,10,3,179,51,18,38,253465,93,0,1,1,0,3
23,10,6,225,26,9,28,253465,93,0,1,0,0,3
23,10,3,118,10,10,37,253465,93,0,1,0,0,3
23,10,4,225,26,9,28,253465,93,0,1,0,0,2
23,10,4,248,25,14,47,253465,93,0,1,0,0,2
23,10,5,291,31,12,40,253465,93,0,1,1,0,5
23,10,4,179,51,18,38,253465,93,0,1,1,0,8
23,10,4,225,26,9,28,253465,93,0,1,0,0,3
14,10,3,291,31,12,40,253465,93,0,1,1,0,8
28,10,3,225,26,9,28,253465,93,0,1,0,0,2
23,11,5,179,51,18,38,306345,93,0,1,1,0,1
21,11,5,179,22,17,40,306345,93,0,2,0,1,8
22,11,2,189,29,13,33,306345,93,0,1,0,0,8
14,11,2,291,31,12,40,306345,93,0,1,1,0,40
23,11,4,225,26,9,28,306345,93,0,1,0,0,1
6,11,6,155,12,14,34,306345,93,0,1,1,0,8
23,11,4,225,26,9,28,306345,93,0,1,0,0,3
13,11,6,225,26,9,28,306345,93,0,1,0,0,3
28,11,2,248,25,14,47,306345,93,0,1,0,0,1
28,11,3,225,26,9,28,306345,93,0,1,0,0,3
7,11,4,289,36,13,33,306345,93,0,1,1,0,24
23,11,5,291,31,12,40,306345,93,0,1,1,0,3
